Nome,Aeroporto,Cartões aceitos,Comodidades,Completude,Descrição,Dias da semana,Falta,Foto de capa,Galeria,Horário,IATA,ID Supabase,Núm. fotos,País,Prioridade,Status curadoria,Tempo máx permanência,Terminal,Website,Última atualização banco
The Emirates Lounge,"CDG · Paris, França",,,20,"Terminal 2C (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,,CDG,f9e12303-f0ed-4744-97af-a589727ede68,1,França,Alta,Pendente,,,,26 de maio de 2026
Plaza Premium Lounge Doméstico,"GIG · Rio de Janeiro, Brasil",,,10,"Mezanino, Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,GIG,c30c38cf-1f40-4c73-a2c9-66066b6bef48,0,Brasil,Alta,Pendente,,,,26 de maio de 2026
Privium Airside Lounge,"AMS · Amsterdã, Países Baixos",,,10,"Holland Boulevard (AMS Airport), 1118 AP Schiphol",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,AMS,64d57fd8-f7dc-44fe-827d-98ae131dde23,0,Países Baixos,Alta,Pendente,,,https://www.schiphol.nl/en/at-schiphol/services/privium-airside-lounge,26 de maio de 2026
KLM Crown Lounge (Schengen),"AMS · Amsterdã, Países Baixos",,,10,"Concourse D (AMS Airport), 1118 CP Schiphol",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,AMS,e2abae35-7670-4b7f-88b2-7cb05307abb4,0,Países Baixos,Alta,Pendente,,,https://lounge.klm.com/client/lounge25/home,26 de maio de 2026
The Centurion Lounge,"EZE · Buenos Aires, Argentina",,,20,"Terminal C (Puerta 15), B1802EZE Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/d/de/Sala_Dal%C3%AD_-_Rinc%C3%B3n_del_Vino_%285657319902%29.jpg,https://upload.wikimedia.org/wikipedia/commons/d/de/Sala_Dal%C3%AD_-_Rinc%C3%B3n_del_Vino_%285657319902%29.jpg,,EZE,ad5cb6b0-7af9-4180-8ee3-1eb7e0b38d7e,1,Argentina,Alta,Pendente,,,http://www.americanexpress.com,26 de maio de 2026
Lufthansa Business Lounge B Ost,"FRA · Frankfurt, Alemanha",,,20,"Terminal 1, near Gates B44-B48 (FRA Airport), 60547 Frankfurt am Main",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/0/0d/Franz_Josef_Strauss_International_Airport_%28Munich%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Franz_Josef_Strauss_International_Airport_%28Munich%29.jpg,,FRA,8025b25b-000d-44f6-8aaa-ab2a6aada7f5,1,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Lufthansa Business Lounge A13,"FRA · Frankfurt, Alemanha",,,20,"Terminal 1, near Gate A13 (FRA Airport), 60549 Frankfurt am Main",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/4/45/Berlin_Brandenburg_Airport_Terminal_1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Berlin_Brandenburg_Airport_Terminal_1.jpg,,FRA,027218cd-7589-4950-ab2a-58b6a6d608bb,1,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Plaza Premium Lounge Pública,"GIG · Rio de Janeiro, Brasil",,,10,"Piso Premium, Estacionamento, Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,GIG,b33fc4ec-99a6-44c3-81f7-7c976f5f2e62,0,Brasil,Alta,Pendente,,,http://www.plaza-network.com,26 de maio de 2026
Salón VIP LATAM,"EZE · Buenos Aires, Argentina",,,20,"Terminal B (Pre-embarque), 1804 Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,,EZE,80d99d6d-6b3b-4b06-be42-ae6da017cfec,1,Argentina,Alta,Pendente,,,http://www.lan.com,26 de maio de 2026
Star Alliance Lounge 27,"AMS · Amsterdã, Países Baixos",,,20,"Departures 1 (AMS Airport), 1118 CB Schiphol",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/en/f/f7/210720_NQZ_Terminal_view.jpg,https://upload.wikimedia.org/wikipedia/en/f/f7/210720_NQZ_Terminal_view.jpg,,AMS,6fc1e25d-a808-4c52-8fbf-2e182d5a2779,1,Países Baixos,Alta,Pendente,,,,26 de maio de 2026
Avianca Lounge,"BOG · Bogotá, Colômbia",,,20,"Bogotá, Bogotá D.C.",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/9/96/El-dorado-from-air.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/El-dorado-from-air.jpg,,BOG,cb43c3d9-ba95-4fa6-b318-8405269ac658,1,Colômbia,Alta,Pendente,,,,26 de maio de 2026
Lufthansa First Class Lounge B,"FRA · Frankfurt, Alemanha",,,20,"Terminal 1, near Gate B22 (FRA Airport), 60547 Frankfurt am Main",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/f1/Oslo_Airport_terminal_night_view.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f1/Oslo_Airport_terminal_night_view.jpg,,FRA,ab0b9f38-8a5c-4ca2-bfc4-5721545e4b59,1,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Cathay Pacific Lounge,"CDG · Paris, França",,,20,"Terminal 2E - Hall L (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,,CDG,833e99ae-cde8-4d7f-867c-5687fc5f1854,1,França,Alta,Pendente,,,,26 de maio de 2026
Star Alliance Lounge (Non-Schengen),"CDG · Paris, França",,,20,"Terminal 2E (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/e/ef/Croisement_Thalys-Eurostar_Neige_en_Savoie_%28f%C3%A9vrier_2023%29.JPG,https://upload.wikimedia.org/wikipedia/commons/e/ef/Croisement_Thalys-Eurostar_Neige_en_Savoie_%28f%C3%A9vrier_2023%29.JPG,,CDG,98848301-d841-4c46-96a4-adb222d52a81,1,França,Alta,Pendente,,,,26 de maio de 2026
Air France Lounge La Première,"CDG · Paris, França",,,20,"Terminal 2E - Hall L (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,,CDG,e86d7f76-686c-488b-9bff-baa8b9f19260,1,França,Alta,Pendente,,,,26 de maio de 2026
Lounge British Airways,"GIG · Rio de Janeiro, Brasil",,,20,"Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/1/19/JA02WJ_JFK_Landing_22L_JL_A350_1041_Small_%2853548157200%29.png,https://upload.wikimedia.org/wikipedia/commons/1/19/JA02WJ_JFK_Landing_22L_JL_A350_1041_Small_%2853548157200%29.png,,GIG,bdb29ec1-53e6-4ae1-9463-b99bf3f3e87d,1,Brasil,Alta,Pendente,,,,26 de maio de 2026
OneWorld Lounge,"GIG · Rio de Janeiro, Brasil",,,20,"Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/b/b1/DNA_Lounge_daytime.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/DNA_Lounge_daytime.jpg,,GIG,c35e1136-6856-438f-a9cf-311b1c6fb663,1,Brasil,Alta,Pendente,,,,26 de maio de 2026
Sala VIP Diamond (Terminal T1 - Nacional),"BOG · Bogotá, Colômbia",,,10,"Bogotá, Bogotá D.C.",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,BOG,ef18755a-5494-4771-9236-6d4abccfe561,0,Colômbia,Alta,Pendente,,,,26 de maio de 2026
"Aerolineas Argentinas VIP Lounge ""Salón Condor""","EZE · Buenos Aires, Argentina",,,10,"Terminal C (Aeropuerto EZE), 1804 Ezeiza, Buenos Aires",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,EZE,dd076cf1-05df-445b-abeb-28e11cd9cf49,0,Argentina,Alta,Pendente,,,http://www.aerolineas.com.ar/es-AR/ReservasServicios/SalonCondor,26 de maio de 2026
Air France Lounge,"CDG · Paris, França",,,20,"Terminal 2E - Hall L (CDG Airport), Paris, Île-de-France",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,,CDG,c4fd8f71-061b-4fd7-a7d2-c30e4f8b5d3f,1,França,Alta,Pendente,,,,26 de maio de 2026
KLM Crown Lounge (Non-Schengen),"AMS · Amsterdã, Países Baixos",,,10,"Concourse F (AMS Airport), 1118 CP Luchthaven Schiphol",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,AMS,c221eeb6-cf8d-4a01-bb63-6674d9f3555b,0,Países Baixos,Alta,Pendente,,,https://lounge.klm.com/client/lounge52/home,26 de maio de 2026
Sala VIP Avianca Silver & Gold,"BOG · Bogotá, Colômbia",,,10,"Bogotá, Bogotá D.C.",,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",,,,BOG,692eeaa2-0c63-4178-9b1a-0661f06625fa,0,Colômbia,Alta,Pendente,,,,26 de maio de 2026
Star Alliance Lounge,"EZE · Buenos Aires, Argentina",,,20,"Terminal B (2º Piso), B1802EZE Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/a/ab/4X-EDN_Micha.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/4X-EDN_Micha.jpg,,EZE,67a1c4b3-4b7a-4716-a3b2-00eacc5e4574,1,Argentina,Alta,Pendente,,,http://www.staralliance.com/en/benefits/status-benefits/lounges/star-alliance-lounge-buenos-aires/,26 de maio de 2026
Sala VIP Aeropuerto Internacional El Dorado,"BOG · Bogotá, Colômbia",,,0,,,"1+ foto, 3+ fotos, 5+ fotos, cartões aceitos, comodidades, descrição, dias da semana, horário, localização exata, tempo máx",,,,BOG,2523492d-61f9-4e2e-81f1-f0888f64d930,0,Colômbia,Alta,Pendente,,,,26 de maio de 2026
Ezeiza Lounge - American Express,"EZE · Buenos Aires, Argentina",,,20,"Terminal C, B1802 Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,,EZE,4167b9dd-bf86-425f-9571-4ddd00a936a2,1,Argentina,Alta,Pendente,,,http://www.americanexpress.com,26 de maio de 2026
BBVA Lounge,"EZE · Buenos Aires, Argentina",,,20,"B1802 Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/8/88/Lima_Peru_Miraflores_Hotel_Skyline.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Lima_Peru_Miraflores_Hotel_Skyline.jpg,,EZE,bd77219a-ca38-42da-bf93-81563410d007,1,Argentina,Alta,Pendente,,,,26 de maio de 2026
Emirates Airlines First/Business Lounge,"EZE · Buenos Aires, Argentina",,,20,"Terminal C, 1804 Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,,EZE,fb6bd5ea-d836-4301-b107-57376aaaf3be,1,Argentina,Alta,Pendente,,,,26 de maio de 2026
First Class & Business Class Lounge,"CDG · Paris, França",,,20,"Terminal 2E, Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/c/c8/La_Compagnie_Airbus_A321-251NX_F-HBUZ_approaching_Newark_Airport.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/La_Compagnie_Airbus_A321-251NX_F-HBUZ_approaching_Newark_Airport.jpg,,CDG,f6950ed0-7b88-430d-b4e1-78d1635563eb,1,França,Alta,Pendente,,,,26 de maio de 2026
Salon VIP Aeropuertos Argentina 2000,"EZE · Buenos Aires, Argentina",,,20,"Terminal A, B1802EZE Ezeiza, Buenos Aires",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/7/7a/Parque_Bicentenario_2017_looking_south.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7a/Parque_Bicentenario_2017_looking_south.jpg,,EZE,47090cbc-f4d7-43a8-a300-7a3f1ffddc02,1,Argentina,Alta,Pendente,,,,26 de maio de 2026
Qatar Airways Premium Lounge,"CDG · Paris, França",,,20,"Terminal 2E - Hall L (CDG Airport), Paris",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,https://upload.wikimedia.org/wikipedia/commons/f/fd/9V-SGB_JFK_Taxiing_In_SQ_A359_941_ULR_Small.png,,CDG,eca6be7b-32fa-42ba-b665-05edb3f73db8,1,França,Alta,Pendente,,,,26 de maio de 2026
Plaza Premium Lounge International,"GIG · Rio de Janeiro, Brasil",,,20,"3º Andar, Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/d/da/LasVegas-MGMgrand.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/LasVegas-MGMgrand.jpg,,GIG,1724363d-66b3-4bff-9848-4ea002755df7,1,Brasil,Alta,Pendente,,,,26 de maio de 2026
Lufthansa Senator Lounge B,"FRA · Frankfurt, Alemanha",,,20,"Terminal 1, next to Gate B43 (FRA Airport), 60549 Frankfurt am Main",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/7/73/Detroit_Metropolitan_Airport_Aerial_-_November_2015_%2845764509704%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Detroit_Metropolitan_Airport_Aerial_-_November_2015_%2845764509704%29.jpg,,FRA,18c69908-2926-433a-a00d-42b8a77f4b62,1,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Lufthansa Senator Lounge Z,"FRA · Frankfurt, Alemanha",,,20,"Terminal 1, near Gate Z50 (FRA Airport), 60549 Frankfurt am Main",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/9/92/Washington_Dulles_International_Airport_at_Dusk.jpg,https://upload.wikimedia.org/wikipedia/commons/9/92/Washington_Dulles_International_Airport_at_Dusk.jpg,,FRA,618cc5c0-691a-4ee0-84a4-7150d4305974,1,Alemanha,Alta,Pendente,,,http://www.lufthansa.com/de/en/lounges,26 de maio de 2026
Copa Airlines Sala Elite,"BOG · Bogotá, Colômbia",,,20,"Aeropuerto Internacional El Dorado - Muelle Nacion, Bogotá, Bogotá D.C.",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,,BOG,577a563c-c98d-428e-b2e3-834afd352683,1,Colômbia,Alta,Pendente,,,http://www.copa.com,26 de maio de 2026
Emirates Business Class Lounge,"GIG · Rio de Janeiro, Brasil",,,20,"Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/2/29/London_Emirates_Stadium_arsenal.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/London_Emirates_Stadium_arsenal.jpg,,GIG,f2cef392-cd39-478b-825d-f2ff3299576a,1,Brasil,Alta,Pendente,,,,26 de maio de 2026
Gol KLM Air France VIP Lounge,"GIG · Rio de Janeiro, Brasil",,,20,"Terminal 2 (Aeroporto do Galeão), Rio de Janeiro, RJ, 21941-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b5/Air_France_Boeing_777-300ER_F-GSQM_IAD_VA1.jpg,,GIG,17b86d37-e250-4bd2-ac46-fd90578d30ed,1,Brasil,Alta,Pendente,,,https://www.airfrance.com.br,26 de maio de 2026
TAP Premium Lounge,"LIS · Lisboa, Portugal",,,20,"Terminal 1 (LIS Airport), 1700 Lisboa",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/f/ff/Broadhurst_Theater_-_Frankie_and_Johnny_in_the_Clair_de_Lune_%2848193410426%29.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Broadhurst_Theater_-_Frankie_and_Johnny_in_the_Clair_de_Lune_%2848193410426%29.jpg,,LIS,3ae4bd63-f03c-4748-8632-469417b2aec2,1,Portugal,Alta,Pendente,,,http://flytap.com,26 de maio de 2026
Lisbon Lounge,"LIS · Lisboa, Portugal",,,20,"Terminal 1 (LIS Airport), Lisboa",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/e/ed/T2Dublin_Airport-doyler79.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/T2Dublin_Airport-doyler79.jpg,,LIS,3f572215-dbc5-42a0-8b81-786234a71ec5,1,Portugal,Alta,Pendente,,,,26 de maio de 2026
LATAM VIP Lounge (Sala VIP LATAM),"GRU · São Paulo, Brasil",,,20,"Terminal 3, Mezanino Área Restrita (GRU Airport), Guarulhos, SP, 07141-900",,"3+ fotos, 5+ fotos, cartões aceitos, comodidades, dias da semana, horário, localização exata, tempo máx",https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Aerial_View_of_Mexico_City_Airport_on_3.21.11_%28cropped%29.jpg,,GRU,600dd54d-a9b9-4ad0-96ed-f37d64dcdb2e,1,Brasil,Alta,Pendente,,,https://www.latamairlines.com/br/pt/experiencia/aeroporto/salas-vip,26 de maio de 2026
